Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity,ageAv,age,gender,ethnicity,solved,Month,Year
1,0 to 12,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian,0,0,1,2,1,Jul,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Merton,White,3,3,1,0,1,Feb,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Brent,Asian,5,5,1,2,1,Mar,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Ealing,Black,3,3,1,1,1,Mar,2003
1,20 to 24,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Unsolved,Brent,Black,2,2,1,1,0,Apr,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Solved,Brent,Black,3,3,1,1,1,Apr,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,May-03,Murder,Solved,Brent,Black,4,4,1,1,1,May,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Brent,Asian,2,2,1,2,1,Jun,2003
1,35 to 44 ,Female,Other Methods Of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Brent,Asian,4,4,2,2,1,Aug,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Aug-03,Murder,Solved,Westminster,White,4,4,2,0,1,Aug,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Brent,Asian,1,1,1,2,1,Aug,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Sep-03,Murder,Solved,Brent,Black,4,4,1,1,1,Sep,2003
1,0 to 12,Female,Shooting,Not Domestic Abuse,Sep-03,Murder,Solved,Ealing,Black,0,0,2,1,1,Sep,2003
1,45 to 54,Female,Other Methods Of Killing,Domestic Abuse,Oct-03,Murder,Solved,Brent,Black,5,5,2,1,1,Oct,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Harrow,White,2,2,1,0,1,Apr,2003
1,20 to 24,Male,Not known/Not Recorded ,Not Domestic Abuse,Sep-03,Murder,Solved,Harrow,White,2,2,1,0,1,Sep,2003
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Harrow,Asian,5,5,1,2,1,Nov,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Camden,Black,3,3,1,1,1,Feb,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Unsolved,Islington,Black,3,3,1,1,0,Apr,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Camden,Black,3,3,1,1,1,Sep,2003
1,35 to 44 ,Female,Not known/Not Recorded ,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White,4,4,2,0,1,Jan,2003
1,25 to 34,Female,Not known/Not Recorded ,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White,3,3,2,0,1,Jan,2003
1,25 to 34,Female,Not known/Not Recorded ,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White,3,3,2,0,1,Jan,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Mar-03,Murder,Solved,Barnet,White,5,5,1,0,1,Mar,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Barnet,White,5,5,1,0,1,Jun,2003
1,45 to 54,Male,Not known/Not Recorded ,Not Domestic Abuse,Jul-03,Murder,Solved,Barnet,Black,5,5,1,1,1,Jul,2003
1,45 to 54,Male,Not known/Not Recorded ,Not Domestic Abuse,Sep-03,Murder,Solved,Ealing ,White,5,5,1,0,1,Sep,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing,Black,3,3,1,1,1,Jan,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing,White,4,4,1,0,1,Jan,2003
1,65 and over,Female,Not known/Not Recorded ,Not Domestic Abuse,Feb-03,Murder,Unsolved,Ealing,White,7,7,2,0,0,Feb,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Ealing,White,7,7,2,0,1,Feb,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Ealing,Asian,3,3,1,2,1,Jun,2003
1,0 to 12,Female,Not known/Not Recorded ,Not Domestic Abuse,Aug-03,Murder,Solved,Ealing,Asian,0,0,2,2,1,Aug,2003
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Islington,White,3,3,1,0,0,Jun,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Islington,White,3,3,1,0,1,Sep,2003
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Islington,White,6,6,1,0,1,Oct,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Islington,White,4,4,1,0,1,Oct,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Haringey,White,5,5,1,0,1,Jan,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Feb-03,Murder,Solved,Haringey,Black,4,4,2,1,1,Feb,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Feb-03,Murder,Solved,Haringey,Black,4,4,1,1,1,Feb,2003
1,20 to 24,Male,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Haringey,White,2,2,1,0,1,Feb,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Haringey,Black,4,4,1,1,1,Mar,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Ealing,Black,1,1,1,1,1,Mar,2003
1,25 to 34,Female,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Haringey,Black,3,3,2,1,1,Mar,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Haringey,White,2,2,1,0,1,Apr,2003
1,35 to 44 ,Female,Other Methods Of Killing,Not Domestic Abuse,May-03,Manslaughter,Solved,Haringey,White,4,4,2,0,1,May,2003
1,65 and over,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Hackney,White,7,7,1,0,0,Jun,2003
1,25 to 34,Male,Blunt Implement,Domestic Abuse,Jun-03,Murder,Solved,Haringey,Black,3,3,1,1,1,Jun,2003
1,0 to 12,Female,Not known/Not Recorded ,Not Domestic Abuse,Jul-03,Murder,Solved,Haringey,White,0,0,2,0,1,Jul,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Haringey,White,3,3,1,0,1,Oct,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Haringey,Black,3,3,1,1,1,Oct,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Haringey,White,4,4,1,0,1,Nov,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Domestic Abuse,Nov-03,Murder,Solved,Haringey,White,4,4,1,0,1,Nov,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Mar-03,Murder,Solved,Southwark,White,7,7,2,0,1,Mar,2003
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Mar-03,Murder,Solved,Southwark,Black,5,5,2,1,1,Mar,2003
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,Mar-03,Murder,Solved,Southwark,Black,2,2,2,1,1,Mar,2003
1,65 and over,Male,Blunt Implement,Domestic Abuse,Apr-03,Murder,Solved,Southwark,White,7,7,1,0,1,Apr,2003
1,55 to 64,Male,Shooting,Not Domestic Abuse,May-03,Murder,Solved,Southwark,White,6,6,1,0,1,May,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,May-03,Murder,Unsolved,Southwark,Black,3,3,1,1,0,May,2003
1,45 to 54,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Southwark,White,5,5,2,0,1,May,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,Black,3,3,1,1,1,Jul,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,White,4,4,1,0,1,Jul,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,White,5,5,1,0,1,Jul,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Southwark,Black,1,1,1,1,1,Sep,2003
1,35 to 44 ,Male,"Physical Assault, no weapon",Not Domestic Abuse,Sep-03,Murder,Solved,Ealing,White,4,4,1,0,1,Sep,2003
1,55 to 64,Male,Shooting,Not Domestic Abuse,Oct-03,Murder,Unsolved,Southwark,White,6,6,1,0,0,Oct,2003
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,May-03,Murder,Solved,Lewisham,White,3,3,1,0,1,May,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Jun-03,Murder,Solved,Lewisham,Asian,4,4,1,2,1,Jun,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Lewisham,Black,1,1,1,1,1,Sep,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Lewisham,Black,4,4,1,1,1,Sep,2003
1,65 and over,Female,Blunt Implement,Domestic Abuse,Sep-03,Murder,Solved,Lewisham,White,7,7,2,0,1,Sep,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Lewisham,Black,2,2,1,1,1,Nov,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Apr-03,Murder,Solved,Bromley,White,4,4,2,0,1,Apr,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Greenwich,White,3,3,1,0,1,Mar,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Greenwich,White,4,4,1,0,1,Mar,2003
1,20 to 24,Male,Knife or Sharp Implement,Domestic Abuse,May-03,Murder,Solved,Ealing,Black,2,2,1,1,1,May,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,May-03,Murder,Solved,Greenwich,White,4,4,1,0,1,May,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Greenwich,White,3,3,1,0,1,Jun,2003
1,35 to 44 ,Male,Not known/Not Recorded ,Not Domestic Abuse,Jul-03,Murder,Solved,Greenwich,White,4,4,1,0,1,Jul,2003
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,Sep-03,Murder,Solved,Greenwich,White,2,2,2,0,1,Sep,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Greenwich,White,5,5,1,0,1,Oct,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Greenwich,White,2,2,1,0,1,Nov,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Greenwich,White,4,4,2,0,1,Dec,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Manslaughter,Solved,Greenwich,White,7,7,2,0,1,Dec,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Greenwich,White,1,1,1,0,1,Dec,2003
1,35 to 44 ,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jan-03,Murder,Solved,Croydon,White,4,4,2,0,1,Jan,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Croydon,White,4,4,1,0,1,Apr,2003
1,20 to 24,Female,Other Methods Of Killing,Not Domestic Abuse,May-03,Murder,Solved,Croydon,White,2,2,2,0,1,May,2003
1,13 to 19,Female,Other Methods Of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Croydon,Asian,1,1,2,2,1,Jun,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Croydon,Asian,4,4,1,2,1,Jul,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Croydon,White,4,4,1,0,1,Jul,2003
1,35 to 44 ,Female,Blunt Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Croydon,Asian,4,4,2,2,1,Aug,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Croydon,Asian,3,3,1,2,1,Oct,2003
1,13 to 19,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Croydon,White,1,1,1,0,1,Dec,2003
1,25 to 34,Female,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Bexley,Asian,3,3,2,2,1,Mar,2003
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Sutton,White,0,0,1,0,1,Dec,2003
1,20 to 24,Female,"Physical Assault, no weapon",Domestic Abuse,Jan-03,Murder,Solved,Tower Hamlets,White,2,2,2,0,1,Jan,2003
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Unsolved,Tower Hamlets,White,3,3,2,0,0,Feb,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Tower Hamlets,Black,2,2,1,1,1,Mar,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Apr-03,Murder,Solved,Tower Hamlets,Asian,3,3,1,2,1,Apr,2003
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,May-03,Murder,Solved,Tower Hamlets,White,5,5,1,0,1,May,2003
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Tower Hamlets,White,3,3,2,0,1,May,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Tower Hamlets,Asian,7,7,2,2,1,Jul,2003
1,65 and over,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jul-03,Murder,Solved,Tower Hamlets,White,7,7,2,0,1,Jul,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Ealing,Black,4,4,1,1,1,Aug,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Tower Hamlets,Asian,3,3,1,2,1,Oct,2003
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Dec-03,Murder,Solved,Tower Hamlets,Asian,5,5,2,2,1,Dec,2003
1,20 to 24,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Unsolved,Redbridge,Asian,2,2,1,2,0,Mar,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Redbridge,Asian,1,1,1,2,1,Jun,2003
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Redbridge,White,0,0,1,0,1,Jun,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Redbridge,White,3,3,1,0,1,Jul,2003
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Jul-03,Murder,Solved,Redbridge,White,3,3,1,0,1,Jul,2003
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Aug-03,Murder,Solved,Redbridge,White,3,3,2,0,1,Aug,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Redbridge,White,4,4,2,0,1,Oct,2003
1,25 to 34,Male,Not known/Not Recorded ,Not Domestic Abuse,May-03,Murder,Solved,Hackney,Black,3,3,1,1,1,May,2003
1,25 to 34,Female,Other Methods Of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Hackney,Black,3,3,2,1,1,Jun,2003
1,13 to 19,Male,Shooting,Not Domestic Abuse,Jun-03,Murder,Solved,Hackney,Black,1,1,1,1,1,Jun,2003
1,65 and over,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Hackney,White,7,7,1,0,0,Jun,2003
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,White,0,0,1,0,1,Jul,2003
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,White,0,0,1,0,1,Jul,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,Black,4,4,1,1,1,Jul,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Hackney,Black,5,5,1,1,1,Aug,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Hackney,Asian,1,1,1,2,1,Aug,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White,3,3,1,0,1,Oct,2003
1,25 to 34,Female,Other Methods Of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White,3,3,2,0,1,Oct,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,Black,3,3,1,1,1,Oct,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White,5,5,1,0,1,Oct,2003
1,65 and over,Female,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Hackney,Black,7,7,2,1,1,Oct,2003
1,20 to 24,Male,Shooting,Not Domestic Abuse,Nov-03,Murder,Solved,Hackney,White,2,2,1,0,1,Nov,2003
1,0 to 12,Female,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Unsolved,Hackney,Black,0,0,2,1,0,Dec,2003
1,55 to 64,Male,Blunt Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Hackney,White,6,6,1,0,1,Dec,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing,Asian,2,2,1,2,1,Jan,2003
1,45 to 54,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Waltham Forest,White,5,5,1,0,1,Mar,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Waltham Forest,Black,2,2,1,1,1,Mar,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Waltham Forest,White,4,4,1,0,1,Jun,2003
1,20 to 24,Female,"Physical Assault, no weapon",Domestic Abuse,Jun-03,Murder,Solved,Waltham Forest,White,2,2,2,0,1,Jun,2003
1,13 to 19,Male,Shooting,Not Domestic Abuse,Jul-03,Murder,Solved,Waltham Forest,Black,1,1,1,1,1,Jul,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Waltham Forest,White,4,4,1,0,1,Aug,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Waltham Forest,Asian,2,2,1,2,1,Oct,2003
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,Oct-03,Murder,Solved,Waltham Forest,Asian,3,3,2,2,1,Oct,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Unsolved,Waltham Forest,White,5,5,1,0,0,Dec,2003
1,55 to 64,Male,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Barking & Dagenham,White,6,6,1,0,1,Feb,2003
1,65 and over,Female,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Barking & Dagenham,White,7,7,2,0,1,Feb,2003
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Apr-03,Murder,Solved,Barking & Dagenham,White,3,3,1,0,1,Apr,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Barking & Dagenham,Black,4,4,1,1,1,Jul,2003
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Barking & Dagenham,Asian,5,5,1,2,1,Jul,2003
1,65 and over,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Manslaughter,Solved,Barking & Dagenham,Black,7,7,1,1,1,Dec,2003
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Redbridge,White,2,2,2,0,1,Mar,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Enfield,White,3,3,1,0,1,Jun,2003
1,20 to 24,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Newham,Asian,2,2,1,2,1,Jun,2003
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Enfield,Black,3,3,1,1,1,Oct,2003
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Enfield,White,6,6,1,0,1,Oct,2003
1,55 to 64,Male,Blunt Implement,Domestic Abuse,Nov-03,Murder,Solved,Enfield,White,6,6,1,0,1,Nov,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Enfield,White,5,5,1,0,1,Dec,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Jan-03,Murder,Unsolved,Newham,Asian,5,5,1,2,0,Jan,2003
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Feb-03,Murder,Solved,Newham,Asian,2,2,2,2,1,Feb,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Newham,Asian,2,2,1,2,1,Apr,2003
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jul-03,Murder,Solved,Newham,White,2,2,2,0,1,Jul,2003
